,id,target,comment_text,severe_toxicity,obscene,identity_attack,insult,threat,asian,atheist,bisexual,black,buddhist,christian,female,heterosexual,hindu,homosexual_gay_or_lesbian,intellectual_or_learning_disability,jewish,latino,male,muslim,other_disability,other_gender,other_race_or_ethnicity,other_religion,other_sexual_orientation,physical_disability,psychiatric_or_mental_illness,transgender,white,created_date,publication_id,parent_id,article_id,rating,funny,wow,sad,likes,disagree,sexual_explicit,identity_annotator_count,toxicity_annotator_count
36977,286987,0.0,so a warm sunny day is like a hurricane or some such ? forgive me if i fail to see the correlation ,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2016-04-18 12:49:51.255658+00,13,286788.0,60283,approved,0,0,0,4,0,0.0,0,4
40324,290932,0.0,a perfect example of ltd and city of eugene arrogance and their contempt for the business along w th is well demonstrated by the placement of a porta potty directly in front and within   foot of the jack in the box dinning room window,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2016-04-21 17:00:58.951560+00,13,,63012,approved,0,0,0,3,0,0.0,0,4
40363,290976,0.4,pretty sad when all the news is gay bathrooms black lives racism and cleansing of history as we know knew it i cannot wait till the polish people and the hispanics jump on the wagon we have no other problems in this country to focus on you would think that as big and complex as america is there would be economic issues jobs infrastructure and a host of other things nope it just all hunky dory ,0.0,0.0,0.4,0.3,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,2016-04-21 17:43:55.447766+00,21,,103745,approved,0,0,0,0,0,0.0,10,10
41221,291973,0.0,mahalo casey for the review we appreciate it :  ,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2016-04-22 19:49:11.028298+00,6,,62409,approved,0,0,0,0,0,0.0,0,4
42009,293082,0.2,george get over yourself welcome to the new alaska that you helped to create and if you think you will get one once of reliable help from dunleavey guess again we all know you want to go to juneau as a state rep to help straighten us all out bunk you are just more of the same as your sainted buddy father mikey maybe you can jam thru funding for parochial schools ,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-04-24 03:36:18.314326+00,21,,99764,approved,0,0,0,11,0,0.0,6,10
45680,297766,0.16666666666666666,this is business as usual  no wonder meyer was perplexed by any attention to it every player named in this article knows better and i hope social media shines a light on these distasteful commonplace acts leaddog alaska,0.0,0.0,0.0,0.16666666666666666,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2016-04-28 21:34:08.969048+00,21,,99218,approved,0,0,0,8,0,0.0,0,6
46063,298234,0.0,now for some truth :   the dispatch as of   :  pm is not telling readers that cruz is on the board of agdc and that agdc has scores of people collecting obscene compensation   thousand in salary and benefits for many in mgmt agdc is a failing enterprise why not start with cuts at agdc ?   cruz was one of the backers of the corrupt sb    that is bankrupting alaska telling us we need to bail out state government when we give away our oil is obscene   cruz should disclose his business dealings with big oil he has not   cruz is ignorant of the fact that     billion dollars of our oil is taken per year tax free alaska is paying nearly one billion in corporate welfare on top of all this free oil that is being stolen   cruz has zero concern about how stealing     dollars from every alaska to prop up this theft is highly recessionary and will hurt the alaska economy ,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2016-04-29 07:41:17.941958+00,21,,71867,approved,0,0,0,10,0,0.0,0,4
47284,299795,0.296875,yeah does anyone really believe this guy does not punch or kick his dogs too ? ,0.0,0.015625,0.0,0.078125,0.203125,,,,,,,,,,,,,,,,,,,,,,,,,2016-04-30 22:23:10.346536+00,21,,98687,approved,0,0,0,3,0,0.0,0,64
47308,299828,0.825,i would have jumped his demon ass and beat the crap out of him if he had one of my cats ,0.1375,0.7375,0.0125,0.6,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-04-30 23:39:28.831040+00,13,,50151,approved,0,0,0,1,0,0.5875,4,80
48183,300830,0.16666666666666666,go drink your booze some people prefer cannabis it none of your business what i do in the privacy of my home ,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2016-05-02 02:36:49.272739+00,21,300448.0,99738,approved,0,0,0,4,0,0.0,0,6
50322,303339,0.0,it might not hurt to have roundabout speed limit signs of      mph posted at each entry point maybe even courteous driving signs one would think common sense would tell drivers that leaving a straight road and entering a tight circle means you might want to drop the mario andretti driving style  but common sense does not seem to work ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-05-04 15:15:20.564873+00,21,,73649,approved,0,0,0,1,0,0.0,4,4
50526,303601,0.0,wow who would have thought ,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2016-05-04 18:08:33.990886+00,21,,106362,approved,0,0,0,0,0,0.0,0,4
52348,306231,0.0,and the democratic be nice to them is working great alaska has the most friendly prisons in the us that is why so many return many inmates violate parole so they can come back by taking away some of those options they will have to commit new crimes in order to come back i work in the department ,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2016-05-06 19:20:38.016263+00,21,305961.0,74210,approved,0,0,0,2,0,0.0,0,4
53919,308111,0.0,you did not present any facts either ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-05-08 19:28:25.271984+00,21,306041.0,74211,approved,0,0,0,0,0,0.0,4,4
54897,309267,0.0,more reasons to encourage parents to homeschool cameron ,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2016-05-10 01:06:31.924097+00,21,309105.0,98775,approved,0,0,0,1,0,0.0,0,4
55030,309423,0.0,premeditation is defined in case law and at the discretion of the jurors if the question is whether nathaniel kangas woke up that morning and decided to kill two troopers then clearly no evidence exists to support the affirmative and the jury must decide that no premeditation occurred if premeditation is more loosely defined as to include steps like loading the gun placing the gun near the door etc then the jury will have a tough job ahead of them if the gun was not prepared in any special way that differs from a normal day in that household i think it would be very difficult to prove premeditation then again there may be a lack of believable witnesses and the bias against a copkiller may overwhelm any presumption of innocence that the jury could muster such bias is destructive in nature and is a perversion of justice but is understandable given the crime ,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2016-05-10 05:20:20.975715+00,21,309268.0,100303,approved,0,0,0,4,0,0.0,0,4
56106,310789,0.16666666666666666,the assembly majority should have better things to do than make a partisan embarrassment of themselves it did not take long for newcomers like weddleton dunbar and croft to show they cannot focus on real issues and would rather power  trip on pointless pet peeves ,0.0,0.0,0.0,0.16666666666666666,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2016-05-11 15:28:37.837516+00,21,,100358,approved,0,0,0,12,0,0.0,0,6
56430,311166,0.0,the just proves once again that climate change is the greatest threat to the american ,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2016-05-11 19:46:32.677192+00,21,,97640,approved,0,0,0,0,0,0.0,0,4
59060,314291,0.16666666666666666,many know me as vapinjenn on the juicin with jenn shows on vapers tv here is my story on why i started to vape : i am a former     pack a day menthol   smoker and i sucked each and every one of those down i started smoking at the age of   dec     i was diagnosed with metastatic brain cancer   tumors all not operable one on my motor skills one on memory and the one they are constantly concerned about is the one my brain stem i picked up my first ego evod set up and my  mg of e  liquid and as they say the rest is history after over   years of smoking i never thought a simple device would work something that actually worked no medications no patches a simple device that helped me to quit the combustible tobacco roller coaster vaping is saving my life i will forever have these tumors and will be in and out of chemo forever but i will never smoke again ! ! do not be a casualty i lost   people to copd because of their smoking ! ! ,0.0,0.16666666666666666,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2016-05-14 19:33:59.612232+00,13,314274.0,76642,approved,0,0,0,6,0,0.0,0,6
59904,315318,0.0,ok so the locals there do not want to take any responsibility for their own destiny i guess they will settle for what the rest of the state residents in organized boroughs decide to give them in other words free to them handouts from the rest of the state ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-05-15 19:45:00.698807+00,21,315288.0,97185,approved,0,0,0,1,0,0.0,4,4
60524,316123,0.0,sanders wants one thing title president and could care less about the people oh he will tell you about all the free stuff he knows people want and a big one that works for him is the lie about free college he knows he cant do but plays well with parents and young people he also lies about his taxes just where are they and no taxes has nothing to do with speaches he is hiding a lot and wont put them out even the one he did is only part of a tax again what is he hiding sanders is as slick as any republican and knows the gop game well its called dumbing down the american voters ,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2016-05-16 17:15:18.418233+00,6,,77416,approved,0,0,0,0,0,0.0,0,4
61927,318094,0.0,oil companies need no tax credit incentives to pull profits out of our planet their lobbyists and the two oil company employees legislators appear to have brainwashed our legislative leaders into believing otherwise the demand for oil will continue for decades and oilmen will continue to pump oil so it is time oil company shareholders and overpaid managers learn to live with smaller salaries and returns on investments much as the state is forced to operate on shrinking oil revenues no successful business or government gives more money to lessees oil company leaseholders than it receives from those lessees our leaders in juneau do not seem to understand that logic but everyone else does ,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2016-05-18 07:34:24.768510+00,21,,97297,approved,0,0,0,26,0,0.0,0,4
63565,320055,0.0,no wonder with envision eugene why the single family property values keep climbing making housing cost less affordable which include rents for the working stiff ,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2016-05-19 19:10:10.453511+00,13,,92545,approved,0,0,0,0,0,0.0,0,4
66600,323705,0.6,adn you continue to disappoint with your grade  school level writing roman dial was en route  not in route i have been commenting on this garbage level writing for years  and you continue to fail ,0.0,0.1,0.0,0.6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2016-05-23 00:32:57.614513+00,21,,118482,rejected,0,0,0,0,0,0.0,0,10
67030,324217,0.0,merrifield you have two rambling word salad posts and two likes both by yourself do you know what the meaning of doofus is ? ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-05-23 17:13:31.521416+00,21,324202.0,123308,approved,0,0,0,16,0,0.0,4,4
67410,324679,0.2,if the state legislature thinks a sales tax is needed as a third revenue source they should not use their lackey the public unions to put some weird corporate tax measure on the ballot as if the average oregonian is going to get a free ride because those big bad faceless corporations are going to pay our way for us what this measure will result in is a poorly designed sales tax that will distort the market and economy in oregon btw i would urge readers to go to the actual report and look at the expected consequences on oregonians by income group the   groups that pay the largest percentage of their income to taxes currently in oregon     and          the middle class will also end up being the groups that will pay the greatest increase under this proposal ,0.0,0.0,0.0,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2016-05-24 00:17:45.272765+00,13,,123697,approved,0,0,0,6,0,0.0,0,10
67427,324697,0.0,you just described trump travis ,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2016-05-24 00:30:16.861860+00,21,324109.0,122192,approved,0,0,0,0,0,0.0,0,4
68537,326123,0.0,i know of several cases similar to the one i posted the details of my case demonstrated a pure defend the fortress mentality the attorney admitted he sent the email but claimed he was not cognizant of what extortion meant yet his rate was over   hour the gc said there was no evidence that the attorney knew what extortion meant   paul,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2016-05-25 00:36:26.621444+00,13,326109.0,128921,approved,0,0,0,3,0,0.0,0,4
68565,326158,0.725,you sound like an enabling mom these pigs did not offer to do one thing to rectify the situation and also in case you were wondering ms mayberry this entire chapter has been suspended from national indefinitely these immature morons actually committed felonies on federal land so be glad they are not in custody already factsgetyourselfsome,0.075,0.15,0.0375,0.75,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2016-05-25 01:10:50.386270+00,6,326032.0,127626,approved,0,0,0,4,0,0.0,0,80
69248,327101,0.0,creating a gas tax vs raising corporate taxes are entirely different things if anything this is great news for the corporate tax raise because people generally despise gas taxes it almost like portlanders realized that we need to fund important services that the public use and everyone needs to pay their fair share although i do think that trucking companies need to pitch in more to pay for infrastructure since they do the most damage ,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2016-05-25 19:34:57.418442+00,6,,135450,approved,0,0,0,2,0,0.0,0,4
70305,328363,0.0,yes police and jails are the answer why has not anyone thought of this brilliant idea yet ? is it because they did not have the foresight to make it a cute log cabin ? no its because you cannot enforce these laws say you round up all these people and put them in lockup how long can you keep them ? eventually you have to release them and they go right back where they were how on earth are you going to fine them ? they do not have any money you cannot mail them a summons if they do not pay their fine ? it so easy to sit around and say gee i wonder why they do not just make being a vagrant against the law that would stop it at this point there is not much we can do tearing out the fountain helps remove hiding places and to be honest that fountain is not impressive especially being broken for so many years you can try and blame the mayor but this has been a problem for decades ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-05-26 18:24:17.112378+00,21,328259.0,137330,approved,0,0,0,0,0,0.0,4,4
70383,328446,0.4,read the article again he was not staring him down anymore he had gotten out of his vehicle and was approaching the guy who then shot him clearly self  defense ,0.0,0.0,0.0,0.0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,2016-05-26 19:23:18.790140+00,21,328384.0,137507,approved,0,0,0,7,0,0.0,0,10
71645,329991,0.0,no prob thank you ,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2016-05-28 01:30:35.862915+00,21,329987.0,137594,approved,0,0,0,1,0,0.0,0,4
71648,329994,0.4,but burny crazies burning cars and torching buildings are not charged with any crimes ,0.0,0.1,0.0,0.5,0.1,,,,,,,,,,,,,,,,,,,,,,,,,2016-05-28 01:34:01.889043+00,21,,137608,approved,0,0,0,1,0,0.0,0,10
73159,331774,0.16666666666666666,also still in our legislature are the cbc who took money from veco and bill allen these are not campaign contributions good folks ! the are bribes that were not enough to get arrested because the fbi wanted to big fish like the one who took   freaking bucks : rep mike chenault r  nikiski     rep ralph samuels r  anchorage     rep mike hawker r  anchorage     sen lesil mcguire r  anchorage     sen lyda green r  wasilla     rep kevin meyer r  anchorage     sen john cowdery r  anchorage     sen con bunde r  anchorage     rep john coghill r  north pole     rep richard foster d  nome     sen fred dyson r  eagle river     and sen gary stevens r  kodiak    ,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2016-05-29 19:22:45.169197+00,21,331300.0,137660,approved,0,0,0,8,0,0.0,0,6
75183,334484,0.0,your claim that you are not anti  hindu anti  krishna is absurd you claim jagad guru siddhaswarupananda chris butler is not a bona fide teacher in a bona fide hindu disciplic succession parampara but you accept that certain other hindu teachers are bona fide since you claim to be an authority on hinduism and believe you are qualified to decide who is or is not a bona fide hindu teacher or guru then you need to put forward your background that makes you an expert in the subject of religion and most importantly your expertise on the subject of hinduism secondly you need to put forward scriptural or other evidence substantiating your claims that jagad guru is not bona fide along with evidence to establish what in your view makes the other hindu gurus bona fide in other words compare their teachings and point out what hindu yoga scriptures their respective teachings align with or do not align with to illustrate how you concluded which hindu gurus are and are not bona fide ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-06-01 11:12:09.245036+00,22,334426.0,137739,approved,0,0,0,0,0,0.0,4,4
76672,336432,0.0,the logical follow up question is how much revenue from student  paid tuition was mr bowers earning for the university in excess of their payments to him for providing the service they sell ? ,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2016-06-02 20:23:56.830829+00,21,336313.0,137892,approved,0,0,0,1,0,0.0,0,4
78889,339139,0.0,well without needlessly rambling  on it the authorities that are still investigating it not the opposition or the republicans ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-06-05 04:07:58.071453+00,13,339124.0,138022,approved,0,0,0,1,0,0.0,4,4
79000,339274,0.0,thanks for this article denby much needed we did try to say stop enough already to the erection of a building in our neighborhood with little redeeming grace   except the prospect of maximizing income for its foreign owners while blocking views light and breezes for the houses right next to it none of our questions or concerns merited thoughtful responses from avalon the developer of   hawaii kai http : www civilbeat com     run  over  by  a  well  oiled  machine  in  hawaii  kai as we noted then : the department of planning and permitting had given the developer the green light despite the fact that several conditions of the agreement on which the neighborhood boards approval was based do not seem to have been honored apparently developers can get away with paying lip service to their sense of place and dispensing platitudes about enhancing the character of the neighborhood ,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2016-06-05 08:51:17.561771+00,22,,137766,approved,0,0,0,1,0,0.0,0,4
79077,339358,0.0,governor walker plan to lose the budget gap is on target and must be approved this year ! legislators must act in the best long term interest of alaska and stop trying to satisfy the lobbyists every alaskan should be expected to participate and sacrifice in solving alaska fiscal dilemma ! ,0.0,0.0,0.14285714285714285,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2016-06-05 15:09:28.115652+00,21,,138023,approved,0,0,0,0,0,0.0,0,7
79318,339632,0.2,boy you sure know how to strut your stuff :  to quote jazz pianist les mccann from the song compared to what you are chicken feathers all without one gut trying to make it real compared to what ? i sincerely hope you have a nice day today and your condition improves ,0.0,0.0,0.0,0.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2016-06-05 19:30:04.189768+00,13,339606.0,138031,rejected,0,0,0,0,0,0.0,0,10
